id,usage,type,key,x,y
1,Indirect,start,c,-0.180556,-0.324074,
1,Indirect,end,e,-0.222222,0.297692,
1,Indirect,start,w,-0.224537,0.293981,
1,Indirect,end,t,-0.037037,0.291667,
1,Indirect,start,t,-0.0949074,0.280093,
1,Indirect,end,o,0.403935,0.314815,
1,Indirect,start,j,0.00462959,-0.0347223,
1,Indirect,end,n,0.118055,-0.261791,
1,Indirect,start,u,0.166667,0.303241,
1,Indirect,end,s,-0.347222,-0.0578704,
1,Indirect,start,f,-0.108796,-0.0347223,
1,Indirect,end,r,-0.180556,0.203704,
1,Indirect,start,l,0.30787,-0.0324074,
1,Indirect,end,h,0.0393519,0.0462962,
1,Indirect,start,t,-0.0277778,0.25463,
1,Indirect,end,l,0.37924,0.110469,
1,Indirect,start,a,-0.493056,-0.0995371,
1,Indirect,end,t,0.123843,0.337963,
1,Indirect,start,t,-0.118055,0.243055,
1,Indirect,end,e,-0.224537,0.240741,
1,Indirect,start,s,-0.423611,-0.0625001,
1,Indirect,end,d,-0.138045,-0.0126269,
1,Indirect,start,o,0.259259,0.324074,
1,Indirect,end,f,-0.122685,0.00462956,
1,Indirect,start,l,0.296296,0.0300925,
1,Indirect,end,t,-0.115741,0.283565,
1,Indirect,start,i,0.263889,0.31713,
1,Indirect,end,i,0.263889,0.31713,
1,Indirect,start,c,-0.18287,-0.474537,
1,Indirect,end,n,0.12037,-0.186298,
1,Indirect,start,s,-0.305556,-0.113426,
1,Indirect,end,l,0.342643,0.0994868,
1,Indirect,start,f,-0.0902778,-0.0439816,
1,Indirect,end,l,0.472222,0.0578703,
1,Indirect,start,y,-0.0486111,0.226852,
1,Indirect,end,r,-0.196759,0.240741,
1,Indirect,start,p,0.381944,0.238426,
1,Indirect,end,e,-0.182501,0.289721,
1,Indirect,start,e,-0.263889,0.344907,
1,Indirect,end,y,0.0543804,0.315978,
1,Indirect,start,a,-0.55787,0.00231481,
1,Indirect,end,e,-0.231816,0.30589,
1,Indirect,start,f,-0.236111,-0.0416667,
1,Indirect,end,m,0.104167,-0.243238,
1,Indirect,start,e,-0.243056,0.289352,
1,Indirect,end,y,0.0138889,0.277778,
1,Indirect,start,t,-0.0208333,0.263889,
1,Indirect,end,e,-0.25463,0.284722,
1,Indirect,start,y,0.00694444,0.263889,
1,Indirect,end,u,0.0347222,0.277778,
1,Indirect,start,w,-0.381944,0.24537,
1,Indirect,end,l,0.328704,-0.0208333,
1,Indirect,start,l,0.222222,-0.131945,
1,Indirect,end,e,-0.212963,0.267361,
1,Indirect,start,y,0.0601852,0.168981,
1,Indirect,end,r,-0.136574,0.287037,
1,Indirect,start,v,-0.12037,-0.430556,
1,Indirect,end,e,-0.217593,0.351852,
1,Indirect,start,w,-0.3125,0.268519,
1,Indirect,end,t,0.157407,0.310185,
1,Indirect,start,y,0.0324074,0.215278,
1,Indirect,end,u,0.0555556,0.289352,
1,Indirect,start,s,-0.310185,-0.0833334,
1,Indirect,end,e,-0.180556,0.287037,
1,Indirect,start,i,0.166667,0.314815,
1,Indirect,end,s,-0.30787,0.0486111,
1,Indirect,start,w,-0.240741,0.349537,
1,Indirect,end,t,-0.0266204,0.261574,
1,Indirect,start,y,0.0416666,0.261574,
1,Indirect,end,u,0.0416666,0.282407,
1,Indirect,start,g,-0.0231482,-0.0300927,
1,Indirect,end,t,-0.0311436,0.286616,
1,Indirect,start,p,0.428241,0.270833,
1,Indirect,end,e,-0.314815,0.24537,
1,Indirect,start,p,0.409722,0.203704,
1,Indirect,end,e,-0.236111,0.3125,
1,Indirect,start,y,0.0833334,0.203704,
1,Indirect,end,r,-0.208333,0.270833,
1,Indirect,start,d,-0.0925926,0.0138889,
1,Indirect,end,e,-0.256945,0.238426,
1,Indirect,start,o,0.354167,0.328704,
1,Indirect,end,f,-0.0763889,-0.00694451,
1,Indirect,start,b,-0.208333,-0.236111,
1,Indirect,end,h,0.154929,0.0227178,
1,Indirect,start,i,0.217593,0.296296,
1,Indirect,end,n,0.108796,-0.308313,
1,Indirect,start,s,-0.298611,-0.0347223,
1,Indirect,end,p,0.451389,0.266204,
1,Indirect,start,c,-0.118055,-0.199074,
1,Indirect,end,t,0.011574,0.333333,
1,Indirect,start,t,0.106482,0.24537,
1,Indirect,end,o,0.422454,0.296296,
1,Indirect,start,y,0.025463,0.259259,
1,Indirect,end,r,-0.175926,0.263889,
1,Indirect,start,w,-0.321759,0.284722,
1,Indirect,end,s,-0.30787,-0.0462964,
1,Indirect,start,m,0.425926,-0.37037,
1,Indirect,end,y,-0.0324074,0.315906,
1,Indirect,start,p,0.347222,0.217593,
1,Indirect,end,d,-0.12963,-0.0532408,
1,Indirect,start,t,-0.0115741,0.247685,
1,Indirect,end,t,0.0277778,0.30787,
1,Indirect,start,i,0.229167,0.231481,
1,Indirect,end,s,-0.344907,-3.53213e-008,
1,Indirect,start,c,-0.252315,-0.206019,
1,Indirect,end,e,-0.302083,0.240741,
1,Indirect,start,a,-0.472222,0.00231481,
1,Indirect,end,s,-0.319444,-0.0231482,
1,Indirect,start,c,-0.0763889,-0.287037,
1,Indirect,end,r,-0.0555556,0.291667,
1,Indirect,start,a,-0.469907,0.0624999,
1,Indirect,end,l,0.4375,0.125,
1,Indirect,start,t,-0.099537,0.259259,
1,Indirect,end,e,-0.229167,0.291667,
1,Indirect,start,b,0.0231482,-0.145833,
1,Indirect,end,s,-0.298611,-0.0949074,
1,Indirect,start,c,-0.101852,-0.229167,
1,Indirect,end,n,0.216435,-0.300926,
1,Indirect,start,w,-0.324074,0.152778,
1,Indirect,end,e,-0.0717593,0.261574,
1,Indirect,start,p,0.37963,0.289352,
1,Indirect,end,y,0.0740741,0.333333,
1,Indirect,start,c,-0.168982,-0.173611,
1,Indirect,end,s,-0.300926,-0.0185185,
1,Indirect,start,t,-0.145833,0.231481,
1,Indirect,end,t,-0.125,0.305555,
1,Indirect,start,a,-0.518518,0.0509259,
1,Indirect,end,d,-0.112268,0.0162037,
1,Indirect,start,b,-0.0740741,-0.284722,
1,Indirect,end,y,0.0185186,0.282407,
1,Indirect,start,a,-0.460648,0.113426,
1,Indirect,end,n,0.169836,-0.285576,
1,Indirect,start,a,-0.446759,-0.0763889,
1,Indirect,end,t,-0.12037,0.261574,
1,Indirect,start,t,-0.0833334,0.326389,
1,Indirect,end,e,-0.217593,0.236111,
1,Indirect,start,o,0.206018,0.263889,
1,Indirect,end,e,-0.222222,0.231481,
1,Indirect,start,o,0.212963,0.222222,
1,Indirect,end,f,-0.1875,-0.0740741,
1,Indirect,start,t,-0.0717593,0.324074,
1,Indirect,end,e,-0.226852,0.271991,
1,Indirect,start,e,-0.131944,0.381944,
1,Indirect,end,e,-0.169285,0.26258,
1,Indirect,start,w,-0.384259,0.224537,
1,Indirect,end,e,-0.224537,0.275463,
1,Indirect,start,c,-0.180556,-0.196759,
1,Indirect,end,n,0.194444,-0.217593,
1,Indirect,start,m,0.233796,-0.263889,
1,Indirect,end,y,0.037037,0.338159,
1,Indirect,start,l,0.337963,-0.0694445,
1,Indirect,end,e,-0.266204,0.192387,
1,Indirect,start,d,-0.155093,-0.0277779,
1,Indirect,end,g,-0.0486111,-0.0532408,
1,Indirect,start,b,-0.0023148,-0.31713,
1,Indirect,end,e,-0.326389,0.245735,
