healthy food is good for you
Direct
0.6 0.6
432 388.8
Stationary 1428.471 499.0503 523 0.3218756 0.3472221
Stationary 1428.502 499 523 0.3217593 0.3472221
Moved 1428.532 483.1216 510.9347 0.2850038 0.3161899
Moved 1428.563 463.2009 496.2576 0.2388909 0.2784403
Moved 1428.594 435.8036 477.4935 0.1754713 0.2301787
Moved 1428.625 404.5374 455.3224 0.103096 0.1731544
Moved 1428.655 375.0827 436.0496 0.03491362 0.1235843
Moved 1428.686 347.9435 414.8087 -0.02790849 0.06895242
Moved 1428.717 331.3166 402.0533 -0.06639684 0.03614524
Moved 1428.748 321.2341 394.4256 -0.08973578 0.01652667
Moved 1428.778 311.5987 384.5987 -0.1120401 -0.008748294
Moved 1428.809 306.9756 379.9878 -0.1227416 -0.02060753
Moved 1428.84 304.1057 377.1057 -0.1293851 -0.02802052
Moved 1428.871 301.5337 374.5337 -0.1353386 -0.03463564
Moved 1428.901 299.6588 374 -0.1396787 -0.03600823
Moved 1428.932 299 371.784 -0.1412037 -0.04170798
Moved 1428.963 298 371 -0.1435185 -0.04372435
Stationary 1428.994 298 371 -0.1435185 -0.04372435
Moved 1429.024 297 370 -0.1458333 -0.04629637
Ended 1429.055 297 370 -0.1458333 -0.04629637
Began 1431.145 445 510 0.1967593 0.3137859
Stationary 1431.176 445 510 0.1967593 0.3137859
Stationary 1431.207 445 510 0.1967593 0.3137859
Stationary 1431.237 445 510 0.1967593 0.3137859
Stationary 1431.268 445 510 0.1967593 0.3137859
Stationary 1431.299 445 510 0.1967593 0.3137859
Stationary 1431.329 445 510 0.1967593 0.3137859
Stationary 1431.36 445 510 0.1967593 0.3137859
Stationary 1431.391 445 510 0.1967593 0.3137859
Moved 1431.422 445 475.8298 0.1967593 0.2258998
Moved 1431.452 445 449.7882 0.1967593 0.1589202
Moved 1431.483 435.8442 415.3766 0.1755652 0.07041315
Moved 1431.514 429.2507 385.4196 0.1603025 -0.006637024
Moved 1431.545 423.0667 358.7999 0.1459876 -0.0751033
Moved 1431.575 417.3361 338.0082 0.1327225 -0.1285797
Moved 1431.606 407.0956 308.5882 0.1090176 -0.2042486
Moved 1431.637 402.6394 296.2788 0.09870231 -0.2359085
Moved 1431.667 401.3772 291.1315 0.09578049 -0.2491474
Moved 1431.698 398.9024 284.8047 0.09005179 -0.2654199
Moved 1431.729 396.0051 276.0153 0.08334518 -0.2880268
Moved 1431.76 392.262 267.393 0.07468065 -0.3102033
Moved 1431.791 388.1092 254.3276 0.06506761 -0.3438076
Moved 1431.821 386.703 250.1089 0.0618124 -0.3546584
Moved 1431.852 383.8279 242.4839 0.05515724 -0.3742698
Moved 1431.883 381.9432 236.8864 0.05079439 -0.3886668
Moved 1431.913 380.3126 232.6251 0.04701982 -0.3996268
Moved 1431.944 379 227.1041 0.04398147 -0.4138269
Moved 1431.975 375.6736 221.3472 0.03628154 -0.4286339
Moved 1432.006 373.8038 217.8038 0.03195326 -0.4377473
Moved 1432.036 372.2268 212.4536 0.02830277 -0.4515082
Moved 1432.067 371 208.3533 0.025463 -0.4620544
Moved 1432.098 369.4838 204.4838 0.02195319 -0.4720068
Moved 1432.129 367.6048 200.6047 0.01760364 -0.4819837
Moved 1432.159 367.0692 198.0692 0.01636396 -0.4885051
Moved 1432.19 366 196.1943 0.01388888 -0.4933273
Moved 1432.221 366 194.7617 0.01388888 -0.497012
Moved 1432.251 365 192.8616 0.01157403 -0.5018993
Moved 1432.282 365 191.6266 0.01157403 -0.5050757
Moved 1432.313 363.5 189.5 0.008101861 -0.5105453
Moved 1432.344 364 188.7504 0.009259283 -0.5124733
Moved 1432.375 364 187.6783 0.009259283 -0.5152307
Moved 1432.405 364 186.6255 0.009259283 -0.5179386
Moved 1432.436 362.8895 186 0.006688634 -0.5195474
Moved 1432.467 363 184.6261 0.006944438 -0.5230811
Ended 1432.497 363 185 0.006944438 -0.5221194
Backspace 1434.357
Began 1435.279 399 373 0.09027779 -0.03858032
Stationary 1435.31 399 373 0.09027779 -0.03858032
Stationary 1435.341 399 373 0.09027779 -0.03858032
Stationary 1435.371 399 373 0.09027779 -0.03858032
Stationary 1435.402 399 373 0.09027779 -0.03858032
Moved 1435.433 385.2684 381.707 0.05849173 -0.0161857
Moved 1435.464 371.1796 390.586 0.02587875 0.00665123
Moved 1435.494 350.3325 408.1859 -0.02237851 0.0519183
Moved 1435.525 320.6091 437.3909 -0.09118263 0.1270342
Moved 1435.556 291.4594 465.5406 -0.1586587 0.1994356
Moved 1435.586 266.6158 492.7303 -0.2161672 0.269368
Moved 1435.617 252.2624 508.422 -0.2493926 0.3097273
Moved 1435.648 243.456 519.0879 -0.2697777 0.3371602
Moved 1435.679 239.5756 523.8488 -0.2787601 0.3494051
Moved 1435.709 236.7061 524 -0.2854026 0.3497942
Moved 1435.74 235.1484 525 -0.2890083 0.3523662
Moved 1435.771 230.5439 514.3599 -0.2996668 0.3249995
Moved 1435.802 225.8123 493.8431 -0.3106196 0.2722302
Moved 1435.832 220.818 469.1808 -0.3221807 0.2087984
Moved 1435.863 217.0031 435.0373 -0.3310113 0.1209806
Moved 1435.894 215.1238 409.114 -0.3353617 0.05430543
Moved 1435.925 215 384.2599 -0.3356481 -0.009619552
Moved 1435.955 215 363.186 -0.3356481 -0.063822
Moved 1435.986 215 346.8278 -0.3356481 -0.1058956
Moved 1436.017 215 333.6425 -0.3356481 -0.1398084
Moved 1436.047 215 326.5805 -0.3356481 -0.1579719
Moved 1436.078 223.4909 321.0182 -0.3159933 -0.1722782
Moved 1436.109 225.3633 318.6367 -0.3116591 -0.1784036
Moved 1436.14 229.2455 318 -0.3026723 -0.1800412
Moved 1436.17 239.7778 318 -0.278292 -0.1800412
Moved 1436.201 262.478 318 -0.2257454 -0.1800412
Moved 1436.232 329.8218 340.6535 -0.06985684 -0.121776
Moved 1436.263 356.882 349.1733 -0.007217477 -0.09986304
Moved 1436.293 412.5658 359.7131 0.12168 -0.07275436
Moved 1436.324 454.9444 364.7944 0.2197788 -0.05968517
Moved 1436.355 477.6985 366.6712 0.2724501 -0.05485801
Moved 1436.386 494.9744 367 0.3124407 -0.05401234
Moved 1436.416 507.2646 367 0.3408903 -0.05401234
Moved 1436.447 511.9363 367 0.3517043 -0.05401234
Moved 1436.478 514.8094 367 0.358355 -0.05401234
Stationary 1436.508 515 367 0.3587963 -0.05401234
Stationary 1436.539 515 367 0.3587963 -0.05401234
Moved 1436.57 481.6813 374.5275 0.2816698 -0.03465158
Moved 1436.601 447.5114 392.2443 0.2025727 0.01091627
Moved 1436.631 405.9501 414.3 0.1063659 0.06764396
Moved 1436.662 378.4344 431.3771 0.04267216 0.1115665
Moved 1436.693 351.3804 451.7464 -0.0199527 0.1639567
Moved 1436.724 334.4068 467.5932 -0.05924354 0.2047149
Moved 1436.754 318.6253 486.0496 -0.09577478 0.2521852
Moved 1436.785 311.4489 497.2046 -0.1123869 0.2808759
Moved 1436.816 307.5724 504.8552 -0.1213601 0.3005533
Moved 1436.847 307 507.9739 -0.1226852 0.3085749
Moved 1436.877 306 509 -0.125 0.3112139
Stationary 1436.908 306 509 -0.125 0.3112139
Moved 1436.939 313.7726 497.8963 -0.1070079 0.2826551
Moved 1436.97 343.2011 447.9982 -0.03888632 0.1543162
Moved 1437 364.9952 408.0087 0.0115631 0.0514627
Moved 1437.031 380.348 377.4344 0.04710187 -0.02717477
Moved 1437.062 391.789 356.8693 0.07358561 -0.08006885
Moved 1437.093 398.6385 344.7231 0.08944084 -0.111309
Moved 1437.123 402.1934 338.6132 0.09766987 -0.1270237
Moved 1437.154 403.7943 337 0.1013758 -0.1311728
Moved 1437.185 404 337 0.1018518 -0.1311728
Moved 1437.215 385.7736 373.3746 0.05966117 -0.03761692
Moved 1437.246 373.2745 413.8668 0.03072798 0.06652969
Moved 1437.277 364.4325 448.2698 0.01026044 0.1550149
Moved 1437.308 358.5466 478.087 -0.003364434 0.2317051
Moved 1437.338 356 492.4145 -0.009259283 0.2685556
Moved 1437.369 354.5175 500.4474 -0.01269092 0.2892166
Ended 1437.4 355 502 -0.01157408 0.2932098
Began 1438.568 300 350 -0.1388889 -0.09773669
Stationary 1438.599 300 350 -0.1388889 -0.09773669
Stationary 1438.629 300 350 -0.1388889 -0.09773669
Stationary 1438.66 300 350 -0.1388889 -0.09773669
