we run the risk of failure
Direct
0.6 0.6
432 388.8
Moved 768.0434 540 357.2403 0.4166667 -0.07911454
Moved 768.0741 540 358.1646 0.4166667 -0.07673734
Stationary 768.1048 540 358.1646 0.4166667 -0.07673734
Moved 768.1356 540 359 0.4166667 -0.07458848
Moved 768.1663 540 360 0.4166667 -0.07201654
Ended 768.197 540 360 0.4166667 -0.07201654
Backspace 769.8875
Began 771.5166 183 501 -0.4097222 0.2906378
Stationary 771.5474 183 501 -0.4097222 0.2906378
Stationary 771.5781 183 501 -0.4097222 0.2906378
Stationary 771.6088 183 501 -0.4097222 0.2906378
Moved 771.6396 194.4978 501 -0.383107 0.2906378
Moved 771.6703 205.5456 509 -0.3575333 0.3112139
Moved 771.701 214.7898 511 -0.3361346 0.3163579
Moved 771.7318 221.0531 512 -0.3216363 0.31893
Moved 771.7625 226.5477 512.7739 -0.3089174 0.3209203
Moved 771.7932 231 513 -0.2986111 0.321502
Ended 771.824 231 513 -0.2986111 0.321502
Began 772.8076 309 482 -0.1180555 0.2417695
Stationary 772.8383 309 482 -0.1180555 0.2417695
Stationary 772.8691 309 482 -0.1180555 0.2417695
Stationary 772.8998 309 482 -0.1180555 0.2417695
Stationary 772.9305 309 482 -0.1180555 0.2417695
Moved 772.9612 341.5448 487.5449 -0.04272028 0.2560309
Moved 772.992 373.529 502.2833 0.03131717 0.2939383
Moved 773.0228 387.0653 510.4392 0.06265114 0.3149156
Moved 773.0535 396.0346 516.0347 0.08341352 0.3293072
Moved 773.0842 400.2795 519.2795 0.09323954 0.3376529
Moved 773.1149 405.1022 520 0.1044032 0.3395061
Moved 773.1457 412.7091 520 0.1220118 0.3395061
Moved 773.1764 423.4881 490.6695 0.1469633 0.2640675
Moved 773.2072 432.093 444.4422 0.1668819 0.1451702
Moved 773.2379 435.8836 396.0958 0.1756564 0.0208224
Moved 773.2686 438.4656 370.5768 0.1816333 -0.04481288
Moved 773.2994 441.9888 344.1012 0.1897888 -0.1129085
Moved 773.3301 446.491 317.5451 0.2002106 -0.1812113
Moved 773.3608 449.5 297.5 0.2071759 -0.2327676
Moved 773.3915 451.9372 291.1883 0.2128177 -0.2490014
Moved 773.4222 452.6994 283.9018 0.214582 -0.2677424
