the collapse of the Roman empire
Direct
0.6 0.6
432 388.8
Moved 1089.754 419.5456 502.8384 0.137837 0.2953661
Moved 1089.785 396.6951 503 0.08494228 0.2957818
Moved 1089.815 371.3995 509.6893 0.02638777 0.3129867
Moved 1089.846 347.5 512 -0.02893518 0.31893
Moved 1089.877 326.5354 515.0663 -0.07746428 0.3268166
Moved 1089.908 309.1644 516 -0.1176751 0.329218
Moved 1089.938 287.8099 516 -0.1671068 0.329218
Moved 1089.969 273.8903 516 -0.199328 0.329218
Moved 1090 263.1719 516 -0.2241391 0.329218
Moved 1090.031 253.4088 516 -0.246739 0.329218
Moved 1090.061 243.0789 509 -0.2706507 0.3112139
Moved 1090.092 237.4487 509 -0.2836835 0.3112139
Moved 1090.123 236 509 -0.287037 0.3112139
Ended 1090.154 236 509 -0.287037 0.3112139
PhraseEnd 1090.891
