traveling requires a lot of fuel
Direct
0.6 0.6
Moved 510.0139 542 352.8592 0.4212962 -0.09038273
Stationary 510.0446 542 352.8592 0.4212962 -0.09038273
Moved 510.0754 543.0252 353 0.4236694 -0.09002065
Stationary 510.1061 543 353 0.4236111 -0.09002065
Stationary 510.1368 543 353 0.4236111 -0.09002065
Stationary 510.1676 543 353 0.4236111 -0.09002065
Moved 510.1983 527.8177 389.9557 0.388467 0.005030141
Moved 510.229 507.4314 437.1829 0.3412764 0.126499
Moved 510.2597 499.6972 467.5141 0.3233731 0.2045115
Moved 510.2905 492.9738 495.1838 0.3078097 0.2756785
Moved 510.3212 490.4509 507.1965 0.3019696 0.3065754
Moved 510.352 488.577 514.8461 0.2976318 0.3262501
Moved 510.3827 486.7008 519.2992 0.2932889 0.3377036
Moved 510.4134 485.0952 521 0.2895722 0.3420781
Moved 510.4441 484 522 0.287037 0.3446501
Moved 510.4749 478.124 503.4958 0.2734351 0.297057
Moved 510.5056 468.5 456 0.2511574 0.174897
Moved 510.5363 461.9076 408.1219 0.2358971 0.05175374
Moved 510.5671 458 354.3314 0.2268519 -0.08659637
Moved 510.5978 456 321.9374 0.2222222 -0.169914
Moved 510.6285 456 299.5 0.2222222 -0.2276234
Moved 510.6592 455 285.3098 0.2199073 -0.2641211
Moved 510.69 453.9565 275.913 0.2174919 -0.2882897
Moved 510.7207 454 270.14 0.2175926 -0.303138
Moved 510.7515 454 267.6413 0.2175926 -0.3095646
Moved 510.7822 453 264.6463 0.2152778 -0.3172678
Moved 510.8129 443.7932 265 0.1939656 -0.3163581
Moved 510.8437 416.9082 285.8735 0.1317319 -0.2626711
Moved 510.8744 392.5545 311.7156 0.07535756 -0.1962047
Moved 510.9051 374.9402 337.6046 0.03458381 -0.1296178
Moved 510.9359 364.8307 352.559 0.01118233 -0.09115486
Moved 510.9666 362.0291 358.9417 0.004697045 -0.0747384
Moved 510.9973 360.167 362.833 0.0003864368 -0.06472991
Moved 511.0281 359.2874 366.4252 -0.001649509 -0.05549089
Ended 511.0588 358.5 368 -0.003472219 -0.05144041
Began 512.2574 304 530 -0.1296296 0.3652262
Stationary 512.2881 304 530 -0.1296296 0.3652262
Stationary 512.3189 304 530 -0.1296296 0.3652262
Moved 512.3496 292.6179 530 -0.1559772 0.3652262
Moved 512.3803 281.0574 524.8505 -0.1827374 0.3519818
Moved 512.4111 270.5466 518.7733 -0.2070681 0.336351
Moved 512.4418 261.5418 512.0279 -0.2279125 0.3190017
Moved 512.4725 254.0224 507.0225 -0.2453185 0.3061277
Moved 512.5032 249.2631 504.1316 -0.2563354 0.2986923
Moved 512.534 246.2569 502 -0.2632942 0.2932098
Moved 512.5647 244.6942 500.6942 -0.2669115 0.2898512
Moved 512.5955 243.9506 501 -0.268633 0.2906378
Stationary 512.6262 243.9506 501 -0.268633 0.2906378
Moved 512.6569 242.8503 501 -0.2711799 0.2906378
Stationary 512.6876 242.8503 501 -0.2711799 0.2906378
Moved 512.7184 241.9496 501 -0.2732648 0.2906378
Moved 512.7491 240.9368 501 -0.2756094 0.2906378
Moved 512.7798 237.8617 501 -0.2827275 0.2906378
Moved 512.8105 230.4377 501 -0.2999128 0.2906378
Moved 512.8413 220.8952 501 -0.3220018 0.2906378
Moved 512.872 210.3699 501 -0.3463659 0.2906378
Moved 512.9028 196.6617 501 -0.378098 0.2906378
Moved 512.9335 186.5639 501 -0.4014726 0.2906378
Moved 512.9642 176.9266 501 -0.4237811 0.2906378
Moved 512.9949 169.8503 499.4252 -0.4401613 0.2865873
Moved 513.0257 165.88 496.94 -0.4493519 0.2801954
Moved 513.0565 163.0384 494.0384 -0.4559296 0.2727324
Moved 513.0872 161.1692 492.1692 -0.4602564 0.2679248
Moved 513.1179 161 490.7428 -0.4606481 0.2642561
Moved 513.1486 161 489.9384 -0.4606481 0.2621872
Moved 513.1794 161 488.9504 -0.4606481 0.2596461
Moved 513.2101 171.201 485.9799 -0.4370346 0.2520059
Moved 513.2408 199.6087 482.3378 -0.3712762 0.2426382
Moved 513.2715 237.2204 481 -0.2842121 0.2391974
Moved 513.3022 271.0436 478.6956 -0.2059177 0.2332705
Moved 513.333 303.4182 479 -0.1309765 0.2340534
Moved 513.3637 329.739 479 -0.07004852 0.2340534
Moved 513.3945 353.3882 479 -0.01530513 0.2340534
Moved 513.4252 370.5638 479 0.0244533 0.2340534
Moved 513.4559 381.1617 479 0.04898538 0.2340534
Moved 513.4867 390.7094 479 0.07108658 0.2340534
Moved 513.5174 398.4207 479 0.08893678 0.2340534
Moved 513.5482 403.3636 479 0.1003788 0.2340534
Moved 513.5789 408.2811 479 0.1117618 0.2340534
Moved 513.6096 413.1385 479 0.1230058 0.2340534
Moved 513.6403 418.873 479 0.1362802 0.2340534
Moved 513.6711 426.4415 486.8138 0.1537997 0.2541508
Moved 513.7018 436.4148 489.3537 0.1768861 0.2606834
Moved 513.7325 447.9351 492.2338 0.2035534 0.2680909
Moved 513.7632 457.3421 496.2281 0.2253289 0.2783644
Moved 513.794 462.4668 497.7334 0.2371916 0.282236
Moved 513.8247 466.5157 499 0.246564 0.2854938
Moved 513.8555 468.1938 500.1937 0.2504485 0.288564
Moved 513.8862 469.5 500 0.2534722 0.2880658
Moved 513.9169 470.2354 501.2354 0.2551745 0.2912431
Moved 513.9477 470 502.7209 0.2546296 0.2950641
Moved 513.9784 460.6015 509.7988 0.2328739 0.3132685
Moved 514.0092 442.5635 518.4728 0.1911193 0.3355781
Moved 514.0399 419.8105 525.0421 0.1384504 0.3524745
Moved 514.0706 395.7464 529.8934 0.08274624 0.364952
Moved 514.1013 369.0379 531 0.02092103 0.3677982
Moved 514.132 347.1672 532 -0.02970557 0.3703703
Moved 514.1628 327.2503 532 -0.07580946 0.3703703
Moved 514.1935 313.9336 532 -0.1066352 0.3703703
Moved 514.2242 304.3109 525.7253 -0.12891 0.3542317
Moved 514.255 300.5576 523.5576 -0.1375982 0.3486564
Moved 514.2857 298.5 524 -0.1423611 0.3497942
Moved 514.3164 297.6255 524 -0.1443854 0.3497942
Moved 514.3472 297 522.5 -0.1458333 0.3459361
Moved 514.3779 295.8265 523 -0.1485497 0.3472221
Stationary 514.4086 295.8265 523 -0.1485497 0.3472221
Stationary 514.4394 295.8265 523 -0.1485497 0.3472221
Stationary 514.4702 295.8265 523 -0.1485497 0.3472221
Moved 514.5009 294.9339 523 -0.1506159 0.3472221
Moved 514.5316 290.9134 523 -0.1599228 0.3472221
Moved 514.5623 288 523 -0.1666667 0.3472221
Moved 514.5931 278.7784 523 -0.188013 0.3472221
Moved 514.6238 270.1588 522.0529 -0.2079659 0.3447862
Moved 514.6545 264.374 520.187 -0.2213566 0.339987
Moved 514.6852 261.7654 518.7654 -0.227395 0.3363306
Moved 514.716 259.8076 519 -0.2319267 0.3369341
Moved 514.7467 259 518 -0.2337963 0.3343621
Moved 514.7775 257.5 517 -0.2372685 0.33179
Moved 514.8082 258 515.8527 -0.2361111 0.3288393
Moved 514.8389 256.6233 506.493 -0.239298 0.304766
Moved 514.8696 255.7606 485.8455 -0.2412948 0.2516602
Moved 514.9003 253.177 461.2386 -0.2472756 0.1883709
Moved 514.9311 249.3746 430.4951 -0.2560773 0.1092981
Moved 514.9617 245.4904 408.4331 -0.2650684 0.0525542
Moved 514.9926 244 391.7202 -0.2685185 0.009568375
Moved 515.0233 242 380.2157 -0.2731481 -0.02002143
Moved 515.054 241 373.1859 -0.275463 -0.03810231
Moved 515.0848 241 370.3051 -0.275463 -0.04551169
Moved 515.1155 239.8774 368.8774 -0.2780616 -0.04918377
Ended 515.1462 240 368 -0.2777777 -0.05144041
Began 515.9453 162 383 -0.4583334 -0.01286016
Stationary 515.9761 162 383 -0.4583334 -0.01286016
Ended 516.0068 162 383 -0.4583334 -0.01286016
Began 516.7136 534 344 0.4027778 -0.1131688
Stationary 516.7443 534 344 0.4027778 -0.1131688
Stationary 516.7751 534 344 0.4027778 -0.1131688
Moved 516.8058 534 366.5735 0.4027778 -0.05510918
Moved 516.8365 525 396.7704 0.3819444 0.02255761
Moved 516.8672 525 428.819 0.3819444 0.104987
Moved 516.898 525 450.595 0.3819444 0.1609953
Moved 516.9287 525 468.9357 0.3819444 0.208168
Moved 516.9595 523 482.3365 0.3773148 0.242635
Moved 516.9902 522 489.2211 0.375 0.2603422
Moved 517.0209 520.221 493.779 0.3708819 0.2720652
Moved 517.0516 518.8615 495.1385 0.3677348 0.275562
Moved 517.0824 515.9843 499.0157 0.3610748 0.2855341
Moved 517.1131 510.2968 501.9011 0.3479093 0.2929553
Moved 517.1439 502.6216 502.5946 0.3301426 0.2947391
Moved 517.1746 492.6006 504 0.3069459 0.2983539
Moved 517.2053 482.1182 504 0.2826809 0.2983539
Moved 517.236 465.4545 504 0.2441077 0.2983539
Moved 517.2668 450.7967 504 0.2101775 0.2983539
Moved 517.2975 436.5 496 0.1770833 0.2777777
Moved 517.3282 416.2806 494 0.1302792 0.2726337
Moved 517.359 396.1321 490.7332 0.08363903 0.2642312
Moved 517.3897 384.1328 488.2266 0.05586296 0.2577842
Moved 517.4205 372.3983 485.3495 0.02869984 0.2503846
Moved 517.4512 359.9094 484 -0.0002098083 0.2469135
Moved 517.4819 350.8224 483 -0.02124448 0.2443414
Moved 517.5126 344.0944 482.0472 -0.03681848 0.241891
Moved 517.5432 340.1703 482 -0.04590204 0.2417695
Moved 517.5741 339 482 -0.04861111 0.2417695
Ended 517.6049 339 482 -0.04861111 0.2417695
Began 518.3424 520 514 0.3703704 0.324074
Stationary 518.3732 520 514 0.3703704 0.324074
Stationary 518.4039 520 514 0.3703704 0.324074
Moved 518.4346 503.4018 505.0428 0.3319485 0.301036
Moved 518.4654 483.9368 493.9649 0.2868907 0.2725435
Moved 518.4961 450.5425 474.0679 0.2095891 0.2213679
Moved 518.5268 407.3867 446.5015 0.1096914 0.1504667
Moved 518.5576 369.4831 417.0693 0.0219516 0.07476661
Moved 518.5883 345.6721 399.0515 -0.03316631 0.0284246
Moved 518.619 333.8069 387.8069 -0.06063228 -0.0004967348
Moved 518.6497 328.8946 383.4473 -0.0720033 -0.01170979
Moved 518.6805 325.5686 379.1373 -0.07970224 -0.02279517
Moved 518.7112 322.5 376.5 -0.08680557 -0.02957819
Moved 518.7419 322 375.7039 -0.08796295 -0.03162596
Moved 518.7727 321 376 -0.09027779 -0.03086435
Ended 518.8034 321 376 -0.09027779 -0.03086435
Began 519.9405 313 369 -0.1087963 -0.04886839
Stationary 519.9713 313 369 -0.1087963 -0.04886839
Stationary 520.002 313 369 -0.1087963 -0.04886839
Stationary 520.0327 313 369 -0.1087963 -0.04886839
Moved 520.0634 329.5702 395.1982 -0.07043942 0.01851396
Moved 520.0941 349.7747 421.1296 -0.02366965 0.08520994
Moved 520.1249 373.4338 451.6198 0.03109674 0.163631
Moved 520.1556 388.5925 470.5925 0.06618638 0.2124293
Moved 520.1864 405.8284 494.7712 0.1060842 0.2746172
Moved 520.2171 410.1594 500.5459 0.1161098 0.2894698
Moved 520.2478 414.256 506.512 0.1255925 0.3048146
Moved 520.2786 415 511.2354 0.1273148 0.3169634
Moved 520.3093 415 515.2185 0.1273148 0.327208
Moved 520.34 401.0929 520.9536 0.09512246 0.3419586
Moved 520.3707 393.8621 523.8552 0.07838448 0.3494217
Moved 520.4015 371.8784 529.7604 0.02749632 0.3646101
Moved 520.4322 342.7365 533.8071 -0.03996169 0.3750181
Moved 520.463 312.5216 534 -0.1099038 0.3755144
Moved 520.4937 289.3165 534 -0.1636192 0.3755144
Moved 520.5244 273.6106 534 -0.1999755 0.3755144
Moved 520.5552 265.0495 526.0248 -0.2197928 0.3550019
Moved 520.5859 263.1462 525 -0.2241985 0.3523662
Moved 520.6166 263 522.2726 -0.2245371 0.3453514
Moved 520.6474 279.828 502.172 -0.1855832 0.2936522
Moved 520.678 309.5756 466.4244 -0.1167231 0.2017087
Moved 520.7088 346.7675 436.8217 -0.03063073 0.1255701
Moved 520.7396 403.9505 403.4474 0.1017374 0.03973085
Moved 520.7703 454.5929 385.8024 0.218965 -0.005652345
Moved 520.801 498.0336 375.0692 0.3195221 -0.03325835
Moved 520.8318 534.9128 362.6522 0.4048909 -0.06519498
Moved 520.8625 561.1502 355.5285 0.4656255 -0.0835173
Moved 520.8932 576.0768 351.3846 0.5001777 -0.09417529
Ended 520.924 580.5 350.5 0.5104166 -0.09645069
PhraseEnd 522.2762
