that is a very nasty cut
Direct
0.6 0.6
432 388.8
Moved 830.3089 345.1125 217.3595 -0.03446192 -0.4388902
Moved 830.3396 339.4181 230.9547 -0.04764323 -0.4039231
Moved 830.3704 331.9942 248.3486 -0.06482815 -0.3591857
Moved 830.4011 325.4599 268.2405 -0.07995386 -0.3080235
Moved 830.4318 322.585 285.9053 -0.08660888 -0.2625894
Moved 830.4625 323 299.6561 -0.08564815 -0.2272219
Moved 830.4932 323 316.0353 -0.08564815 -0.1850943
Moved 830.524 327.7541 335.075 -0.07464325 -0.1361242
Moved 830.5547 335.5727 352.3364 -0.05654464 -0.09172753
Moved 830.5854 343.2605 372.7815 -0.03874883 -0.03914233
Moved 830.6161 353.0022 401.0049 -0.01619861 0.03344885
Moved 830.6469 362.4838 434.4514 0.005749464 0.1194736
Moved 830.6776 370.6352 457.6791 0.02461841 0.1792158
Moved 830.7083 383.1243 490.0919 0.05352844 0.2625819
Moved 830.7391 401.9554 525.1375 0.09711891 0.3527198
Moved 830.7698 416.6212 548.9318 0.1310676 0.4139192
Moved 830.8005 428.8797 565.8497 0.1594437 0.4574323
Moved 830.8312 432.205 570.6067 0.1671412 0.4696673
Moved 830.8619 438.5587 578.5587 0.1818487 0.4901199
Moved 830.8926 441.8322 583.6643 0.1894263 0.5032518
Moved 830.9234 443 585.5 0.1921296 0.5079731
Moved 830.9541 443 586.069 0.1921296 0.5094365
Moved 830.9848 444 587.2316 0.1944444 0.5124268
Stationary 831.0155 444 587.2316 0.1944444 0.5124268
Stationary 831.0462 444 587.2316 0.1944444 0.5124268
Stationary 831.077 444 587.2316 0.1944444 0.5124268
Stationary 831.1077 444 587 0.1944444 0.5118312
Moved 831.1384 444 579.735 0.1944444 0.4931456
Moved 831.1691 444 575.9575 0.1944444 0.4834297
Moved 831.1999 444 571.1688 0.1944444 0.4711131
Moved 831.2306 444 564.6131 0.1944444 0.4542518
Moved 831.2614 444 557.3419 0.1944444 0.4355499
Moved 831.2921 444 549.6171 0.1944444 0.4156818
Moved 831.3228 444 536.3013 0.1944444 0.3814334
Moved 831.3535 439.9123 518.4963 0.1849822 0.3356385
Moved 831.3842 435.5526 503.7628 0.1748902 0.2977436
Moved 831.415 435 489.3752 0.1736111 0.2607386
Moved 831.4457 433 473.785 0.1689814 0.2206403
Moved 831.4764 431.2499 460.7498 0.1649304 0.1871136
Moved 831.5071 430 450.1469 0.162037 0.1598427
Moved 831.5378 428.5101 441.0403 0.1585881 0.1364204
Moved 831.5685 428 433.9526 0.1574074 0.1181907
Moved 831.5992 427 426.3387 0.1550926 0.09860768
Moved 831.63 424.2428 415.7283 0.1487101 0.07131768
Moved 831.6607 422.7457 409.4915 0.1452447 0.05527633
Moved 831.6915 421 401.5761 0.1412037 0.03491798
Moved 831.7222 417.9116 394.8232 0.1340546 0.01754929
Moved 831.7527 415.0394 389.0394 0.1274059 0.002673232
Moved 831.7836 413.5044 384.0089 0.1238528 -0.0102653
Moved 831.8143 410.6422 379.6422 0.1172272 -0.02149637
Moved 831.845 408.758 375.7581 0.1128658 -0.03148648
Moved 831.8758 407.5 373.5 0.1099537 -0.03729432
Moved 831.9065 406.9213 372.9213 0.1086141 -0.03878267
Moved 831.9373 402.0495 373 0.09733677 -0.03858032
Moved 831.968 383.349 402.1659 0.0540486 0.03643491
Moved 831.9987 357.8265 449.1818 -0.005031328 0.1573604
Moved 832.0294 341.8374 502.0223 -0.04204303 0.2932672
Moved 832.0601 336.5 588.5 -0.05439813 0.5156891
Ended 832.0909 336.5 588.5 -0.05439813 0.5156891
Began 836.7607 371 510 0.025463 0.3137859
Stationary 836.7913 371 510 0.025463 0.3137859
Stationary 836.8221 371 510 0.025463 0.3137859
Stationary 836.8528 371 510 0.025463 0.3137859
Moved 836.8835 371 499.5466 0.025463 0.2868996
Moved 836.9142 371 487.218 0.025463 0.2551901
Moved 836.945 371 469.6378 0.025463 0.2099738
Moved 836.9756 380.6161 454.9598 0.04772246 0.1722216
Moved 837.0064 387.3476 439.3049 0.06330451 0.131957
Moved 837.0372 394.112 423.6639 0.07896303 0.09172816
Moved 837.0679 400.8885 409.223 0.09464929 0.05458588
Moved 837.0986 404.9485 401.0773 0.1040475 0.03363492
Moved 837.1293 407.8477 395.1523 0.1107584 0.01839595
Moved 837.16 410.7194 390.5612 0.117406 0.006587221
Moved 837.1907 414.313 386.687 0.1257247 -0.003377302
Moved 837.2215 417.0922 381.9078 0.1321579 -0.01566938
Moved 837.2522 420.9088 376.0912 0.1409926 -0.03062958
Moved 837.2829 422.8291 370.3419 0.1454376 -0.04541703
Moved 837.3137 426.8191 362.1809 0.1546738 -0.0664072
Moved 837.3444 428.6926 355.6147 0.1590107 -0.08329548
Moved 837.3751 430 349.868 0.162037 -0.0980761
Moved 837.4058 430.7418 347.5164 0.1637542 -0.1041246
Moved 837.4365 432.5216 341.9568 0.167874 -0.1184238
Moved 837.4672 434 336.1991 0.1712963 -0.1332328
Moved 837.4979 435 331.4504 0.1736111 -0.1454466
Ended 837.5287 437 326 0.1782407 -0.1594652
Began 839.6485 464 516 0.2407408 0.329218
Stationary 839.6792 464 516 0.2407408 0.329218
Moved 839.7099 449.997 516 0.2083265 0.329218
Moved 839.7407 412.1525 492.5762 0.1207234 0.2689717
Moved 839.7714 340.1692 458.5715 -0.04590471 0.1815111
Moved 839.8021 276.8179 422.1235 -0.1925512 0.08776613
Moved 839.8328 216.5918 388.551 -0.3319634 0.001417207
Ended 839.8635 197 374.5 -0.3773148 -0.03472222
Began 844.2413 360 571 0 0.4706789
Stationary 844.2721 360 571 0 0.4706789
Stationary 844.3028 360 571 0 0.4706789
Moved 844.3336 360 554.4339 0 0.4280706
Moved 844.3643 370.5849 524.6605 0.02450208 0.3514929
Moved 844.395 383.0715 476.2319 0.05340625 0.2269338
Moved 844.4257 394.5743 434.8836 0.08003304 0.1205854
Moved 844.4564 404.7968 399.3442 0.1036962 0.02917737
Moved 844.4871 409.6201 382.3297 0.1148613 -0.01458431
Moved 844.5178 412 371.9484 0.1203704 -0.04128492
Moved 844.5485 413 366.0139 0.1226852 -0.0565488
Moved 844.5793 413 364.9572 0.1226852 -0.05926658
Moved 844.61 397.4666 364 0.08672833 -0.06172839
Moved 844.6407 362.9723 364 0.006880263 -0.06172839
Moved 844.6714 310.1029 376.0364 -0.1155026 -0.03077071
Moved 844.7022 258.1087 381.2224 -0.2358595 -0.0174323
Moved 844.7328 222.8529 382 -0.3174701 -0.01543218
Moved 844.7636 200.2245 382 -0.3698508 -0.01543218
Moved 844.7943 185.2449 382 -0.4045257 -0.01543218
Moved 844.8251 180.2068 382 -0.4161879 -0.01543218
Moved 844.8558 176.3255 382 -0.4251725 -0.01543218
Moved 844.8865 174.8956 382 -0.4284825 -0.01543218
Moved 844.9172 173.7058 382 -0.4312367 -0.01543218
Moved 844.9479 172.9417 382 -0.4330055 -0.01543218
Moved 844.9786 171.6255 382 -0.4360521 -0.01543218
Moved 845.0093 180.9716 396.0982 -0.4144177 0.02082872
Moved 845.0401 253.961 474.961 -0.2454606 0.2236651
Moved 845.0709 314.3421 523.1579 -0.1056897 0.3476282
Moved 845.1016 394.8542 576.791 0.08068115 0.4855735
Ended 845.1323 423.5 592.5 0.1469907 0.5259773
Began 846.3304 448 512 0.2037037 0.31893
Stationary 846.3611 448 512 0.2037037 0.31893
Moved 846.3919 429.7807 505.1506 0.1615294 0.3013131
Moved 846.4225 370.743 479.7632 0.02486805 0.2360164
Moved 846.4533 268.8052 429.1321 -0.211099 0.1057925
Moved 846.4841 244.3036 412.2322 -0.2678157 0.06232548
Ended 846.5148 206.5 385.5 -0.3553241 -0.006430119
Backspace 848.911
Began 850.6622 367 549 0.01620372 0.4140946
Stationary 850.6929 367 549 0.01620372 0.4140946
Moved 850.7236 375.4516 528.3411 0.03576756 0.3609594
Moved 850.7543 386.7848 499.8356 0.06200174 0.2876429
Moved 850.785 402.213 454.9629 0.09771526 0.1722296
Moved 850.8158 416.0764 415.6013 0.1298065 0.07099096
Moved 850.8465 422.492 385.0481 0.1446574 -0.007592385
Moved 850.8772 425 369.9166 0.150463 -0.04651097
Moved 850.9079 425 356.2555 0.150463 -0.08164747
Moved 850.9387 414.0531 345.1808 0.1251229 -0.1101318
Moved 850.9694 377.4009 336.1201 0.04027992 -0.133436
Moved 851.0001 304.5187 346.8079 -0.1284288 -0.1059469
Moved 851.0308 265.8146 353.5464 -0.2180218 -0.08861534
