the collapse of the Roman empire
Direct
0.6 0.6
432 388.8
Moved 1616.345 269.6313 372.6313 -0.2091867 -0.0395285
Moved 1616.376 267 371 -0.2152778 -0.04372435
Ended 1616.407 265 369 -0.2199074 -0.04886839
Began 1618.559 341 489 -0.04398147 0.2597736
Stationary 1618.589 341 489 -0.04398147 0.2597736
Stationary 1618.62 341 489 -0.04398147 0.2597736
Stationary 1618.651 341 489 -0.04398147 0.2597736
Stationary 1618.682 341 489 -0.04398147 0.2597736
Stationary 1618.712 341 489 -0.04398147 0.2597736
Stationary 1618.743 341 489 -0.04398147 0.2597736
Stationary 1618.774 341 489 -0.04398147 0.2597736
Stationary 1618.804 341 489 -0.04398147 0.2597736
Moved 1618.835 341 471.821 -0.04398147 0.2155891
Moved 1618.866 359.4677 454.6816 -0.001232227 0.171506
Moved 1618.897 373.959 432.5616 0.03231237 0.114613
Moved 1618.927 389.4919 406.2621 0.06826828 0.04697046
Moved 1618.958 399.913 390.145 0.09239117 0.005517025
Moved 1618.989 410 374.5 0.1157407 -0.03472222
Moved 1619.02 418.176 365.8827 0.1346667 -0.05688616
Moved 1619.05 423.6052 359.3948 0.1472342 -0.07357303
Moved 1619.081 426.8617 355.1382 0.1547725 -0.08452105
Moved 1619.112 428 352.5851 0.1574074 -0.09108767
Moved 1619.143 429.5 351.5 0.1608796 -0.0938786
Moved 1619.173 429 352 0.1597223 -0.09259266
Moved 1619.204 390.0797 374.0751 0.06962906 -0.03581506
Moved 1619.235 354.2236 398.3068 -0.01337136 0.02650912
Moved 1619.266 321.9677 418.3842 -0.08803785 0.07814863
Moved 1619.296 292.9823 440.7073 -0.1551336 0.1355639
Moved 1619.327 273.1208 455.4852 -0.2011093 0.1735728
Moved 1619.358 258.7488 466.001 -0.2343778 0.2006197
Moved 1619.389 250.6198 470.5868 -0.2531948 0.2124144
Moved 1619.419 246.9818 474.0182 -0.2616163 0.2212403
Moved 1619.45 244.4295 476.5706 -0.2675244 0.2278048
Ended 1619.481 243 479 -0.2708333 0.2340534
Began 1620.311 281 476 -0.1828704 0.2263374
Stationary 1620.341 281 476 -0.1828704 0.2263374
Stationary 1620.372 281 476 -0.1828704 0.2263374
Stationary 1620.403 281 476 -0.1828704 0.2263374
Stationary 1620.434 281 476 -0.1828704 0.2263374
Stationary 1620.464 281 476 -0.1828704 0.2263374
Stationary 1620.495 281 476 -0.1828704 0.2263374
Stationary 1620.526 281 476 -0.1828704 0.2263374
Stationary 1620.557 281 476 -0.1828704 0.2263374
Stationary 1620.587 281 476 -0.1828704 0.2263374
Moved 1620.618 301.8201 476 -0.1346756 0.2263374
Moved 1620.649 314.8939 476 -0.1044123 0.2263374
Moved 1620.68 338.7202 485.6708 -0.04925877 0.2512108
Moved 1620.71 362.881 488.209 0.006668965 0.2577391
Moved 1620.741 383.3856 489.7693 0.05413324 0.2617524
Moved 1620.772 405.7807 491.309 0.1059738 0.2657123
