travel at the speed of light
Direct
0.6 0.6
432 388.8
Moved 1081.531 303.2515 390 -0.1313623 0.005143954
Ended 1081.562 303.2515 390 -0.1313623 0.005143954
Began 1082.023 521 522 0.3726852 0.3446501
Stationary 1082.054 521 522 0.3726852 0.3446501
Stationary 1082.084 521 522 0.3726852 0.3446501
Stationary 1082.115 521 522 0.3726852 0.3446501
Stationary 1082.146 521 522 0.3726852 0.3446501
Moved 1082.177 506.986 502.972 0.3402454 0.2957098
Moved 1082.207 497.359 493.3591 0.3179608 0.2709852
Moved 1082.238 486 481 0.2916667 0.2391974
Moved 1082.269 463.6994 463.3568 0.240045 0.1938187
Moved 1082.3 438.4105 447.0065 0.1815057 0.1517657
Moved 1082.33 417.4995 434.714 0.1331006 0.120149
Moved 1082.361 397.4057 422.2705 0.08658737 0.08814423
Moved 1082.392 378.0666 408.5555 0.0418207 0.05286903
Moved 1082.422 360.8542 397.5695 0.001977185 0.02461276
Moved 1082.453 350.071 390.5355 -0.0229837 0.006521288
Moved 1082.484 341.7839 384.5226 -0.04216681 -0.008943895
Moved 1082.515 333.7776 379.7776 -0.06070003 -0.02114818
Moved 1082.545 328.5094 376.5094 -0.07289489 -0.02955409
Moved 1082.576 325.9703 375 -0.07877245 -0.03343629
Moved 1082.607 323.5 373.5 -0.08449072 -0.03729432
Moved 1082.638 322.8278 374 -0.0860467 -0.03600823
Moved 1082.668 322 373 -0.08796295 -0.03858032
Stationary 1082.699 322 373 -0.08796295 -0.03858032
Ended 1082.73 331 384 -0.06712963 -0.01028807
Began 1083.222 556 385 0.4537037 -0.007716127
Stationary 1083.252 556 385 0.4537037 -0.007716127
Stationary 1083.283 556 385 0.4537037 -0.007716127
Stationary 1083.314 556 385 0.4537037 -0.007716127
Stationary 1083.344 556 385 0.4537037 -0.007716127
Moved 1083.375 533.7797 396.4847 0.4022678 0.02182289
Moved 1083.406 508.8154 420.1846 0.34448 0.08277932
Moved 1083.437 494.625 439.5625 0.311632 0.1326195
Moved 1083.467 484.9885 453.6858 0.2893253 0.1689449
Moved 1083.498 472.7189 483.1244 0.2609234 0.2446614
Moved 1083.529 469.8232 492.5303 0.2542203 0.2688536
Moved 1083.56 466.4057 501.783 0.2463094 0.2926517
Moved 1083.59 465 508.9319 0.2430555 0.3110389
Moved 1083.621 463 514.3422 0.2384259 0.3249542
Moved 1083.652 462 518 0.2361111 0.3343621
Moved 1083.682 460.2381 518 0.2320326 0.3343621
Moved 1083.713 456.7278 518 0.2239069 0.3343621
Moved 1083.744 446.5 506 0.2002315 0.3034978
Moved 1083.775 437.9239 498.9238 0.1803793 0.2852979
Moved 1083.806 426.4962 482.6947 0.1539264 0.2435562
Moved 1083.836 412.9243 460.8485 0.1225099 0.1873675
Moved 1083.867 400.0482 439.0963 0.09270409 0.1314204
Moved 1083.898 391.0831 421.1662 0.07195165 0.08530392
Moved 1083.928 383.7092 404.4184 0.05488237 0.04222834
Moved 1083.959 374.1147 383.2293 0.03267278 -0.01227037
Moved 1083.99 368.3643 368.457 0.01936168 -0.05026491
Moved 1084.021 365.6153 359.8458 0.01299828 -0.07241308
Moved 1084.051 365 356.7369 0.01157403 -0.08040911
Stationary 1084.082 365 357 0.01157403 -0.07973259
Moved 1084.113 369.4419 357 0.02185613 -0.07973259
Moved 1084.144 384.8326 364.9442 0.05748272 -0.05930002
Moved 1084.174 389.1446 366.3815 0.06746431 -0.05560306
Moved 1084.205 397.7838 368 0.08746256 -0.05144041
Moved 1084.236 401.6165 369.8082 0.09633441 -0.04678962
Moved 1084.266 404.6734 370.6733 0.1034106 -0.04456453
Moved 1084.297 407.5547 372 0.1100802 -0.04115226
Moved 1084.328 409 374.0383 0.113426 -0.03590972
Moved 1084.359 410 391.6279 0.1157407 0.009330938
Moved 1084.389 391.255 423.0278 0.07234961 0.09009192
Moved 1084.42 374.8149 445.8826 0.03429373 0.1488749
Moved 1084.451 362.6844 460.3157 0.006213784 0.185997
Moved 1084.482 353.5718 472.5709 -0.01488005 0.2175177
Moved 1084.512 344.9596 485.0809 -0.03481582 0.2496936
Moved 1084.543 339.33 492.3399 -0.04784713 0.2683638
Moved 1084.574 336.5701 495.8597 -0.0542358 0.277417
Moved 1084.605 336 498.3069 -0.05555556 0.283711
Moved 1084.635 336 501.1862 -0.05555556 0.2911167
Ended 1084.666 336 504 -0.05555556 0.2983539
PhraseEnd 1085.25
