want to join us for lunch
Direct
0.6 0.6
432 388.8
Moved 1050.245 315.8125 263.6251 -0.1022858 -0.3198944
Moved 1050.276 320.5267 267.5267 -0.09137342 -0.3098595
Moved 1050.306 327.4599 274.46 -0.07532423 -0.2920269
Moved 1050.337 334.2078 282.3116 -0.05970423 -0.2718323
Moved 1050.368 341.9542 291.939 -0.04177272 -0.2470706
Moved 1050.399 349.438 302.3967 -0.02444908 -0.2201732
Moved 1050.429 360.0591 322.1181 0.0001366933 -0.1694493
Moved 1050.46 374.1452 341.3743 0.03274361 -0.1199221
Moved 1050.491 386.1174 355.1174 0.06045689 -0.08457474
Moved 1050.522 398.5625 370.2032 0.08926512 -0.04577385
Moved 1050.552 405.0353 378.553 0.1042484 -0.02429781
Moved 1050.583 409.3852 383.3852 0.1143175 -0.01186936
Moved 1050.614 410.9089 385.9089 0.1178448 -0.005378331
Moved 1050.645 411 387.3729 0.1180555 -0.001613044
Stationary 1050.675 411 387 0.1180555 -0.002572055
Stationary 1050.706 411 387 0.1180555 -0.002572055
Ended 1050.737 411 387 0.1180555 -0.002572055
PhraseEnd 1051.505
