good jobs for those with education
Direct
0.6 0.6
432 388.8
Moved 319.9036 359.8409 484.8939 -0.0003684064 0.2492127
Moved 319.9343 398.2988 506.4578 0.08865456 0.3046754
Moved 319.9651 420.9022 514.7255 0.1409773 0.3259401
Moved 319.9958 432.5165 517 0.1678623 0.33179
Moved 320.0266 442.5768 517 0.1911499 0.33179
Moved 320.0573 453.2406 517 0.2158347 0.33179
Moved 320.088 466.2628 497.5621 0.2459786 0.2817954
Moved 320.1188 473.6722 475.9665 0.2631302 0.2262512
Moved 320.1496 467.9781 416.5473 0.2499492 0.07342409
Moved 320.1803 444.8561 349.6114 0.1964261 -0.09873614
Moved 320.2111 429.2046 311.6501 0.1601958 -0.1963733
Moved 320.2418 419.4107 288.7618 0.1375247 -0.2552423
Moved 320.2726 412.1338 270.69 0.12068 -0.3017233
Moved 320.3033 409.262 262.7859 0.1140323 -0.3220529
Moved 320.334 408 259 0.1111111 -0.3317901
Ended 320.3648 408 259 0.1111111 -0.3317901
PhraseEnd 321.1028
