a picture is worth many words
Direct
0.6 0.6
432 388.8
Moved 1397.981 189.2638 346.8945 -0.3952227 -0.1057242
Moved 1398.011 177.5472 351.6352 -0.4223445 -0.09353088
Moved 1398.042 171.3 354.7 -0.4368055 -0.08564819
Moved 1398.073 169 356.5 -0.4421296 -0.0810186
Moved 1398.104 167 358.0759 -0.4467593 -0.07696544
Moved 1398.134 167 360.9548 -0.4467593 -0.06956077
Moved 1398.165 167 363.8355 -0.4467593 -0.06215146
Moved 1398.196 192.1569 367.3157 -0.3885258 -0.05320051
Moved 1398.226 235.4816 367 -0.2882369 -0.05401234
Moved 1398.257 276.0628 352.3653 -0.194299 -0.09165304
Moved 1398.288 303.3339 339.8748 -0.1311716 -0.1237789
Moved 1398.319 327.1794 329.1226 -0.07597358 -0.1514338
Moved 1398.349 351.9818 315.7879 -0.01856079 -0.1857308
Moved 1398.38 373.2493 297.3934 0.03066977 -0.2330418
Moved 1398.411 387.3866 285.4907 0.0633949 -0.2636556
Moved 1398.442 399.0936 275.9064 0.09049445 -0.2883065
Moved 1398.472 409.1474 267.2789 0.1137671 -0.3104966
Moved 1398.503 414.9026 259.6461 0.1270893 -0.3301284
Moved 1398.534 418.9946 255.0107 0.1365616 -0.3420506
Moved 1398.565 421 252.1277 0.1412037 -0.3494659
Moved 1398.595 423.7485 250 0.1475659 -0.3549383
Moved 1398.626 424.5 250 0.1493056 -0.3549383
Moved 1398.657 412.4518 272.703 0.1214162 -0.2965457
Moved 1398.688 395.8543 314.437 0.08299619 -0.1892052
Moved 1398.718 381.5057 363.9774 0.0497817 -0.06178671
Moved 1398.749 374.9042 401.4789 0.03450056 0.03466786
Moved 1398.78 369.6541 443.1513 0.02234737 0.14185
Moved 1398.81 367.7903 476.5161 0.01803309 0.2276646
Moved 1398.841 367 500.6707 0.01620372 0.2897907
Moved 1398.872 367 517.1373 0.01620372 0.3321431
Moved 1398.903 365.4971 528.0117 0.0127247 0.3601124
Moved 1398.933 365 534.7652 0.01157403 0.3774824
Moved 1398.964 365 536 0.01157403 0.3806583
Ended 1398.995 365 536 0.01157403 0.3806583
Began 1400.163 215 523 -0.3356481 0.3472221
Stationary 1400.194 215 523 -0.3356481 0.3472221
Stationary 1400.224 215 523 -0.3356481 0.3472221
Stationary 1400.255 215 523 -0.3356481 0.3472221
Stationary 1400.286 215 523 -0.3356481 0.3472221
Stationary 1400.317 215 523 -0.3356481 0.3472221
Stationary 1400.347 215 523 -0.3356481 0.3472221
Stationary 1400.378 215 523 -0.3356481 0.3472221
Stationary 1400.409 215 523 -0.3356481 0.3472221
Stationary 1400.439 215 523 -0.3356481 0.3472221
Stationary 1400.47 215 523 -0.3356481 0.3472221
Moved 1400.501 215 515.3979 -0.3356481 0.3276695
Moved 1400.532 215 514 -0.3356481 0.324074
Moved 1400.562 236.7847 511 -0.2852206 0.3163579
Moved 1400.593 264.7012 511 -0.2205991 0.3163579
Moved 1400.624 302.244 511 -0.1336944 0.3163579
Moved 1400.655 338.6374 511 -0.0494504 0.3163579
Moved 1400.685 368 518 0.01851857 0.3343621
Moved 1400.716 401.8199 520 0.09680539 0.3395061
Moved 1400.747 429.5113 521.1511 0.1609058 0.3424668
Moved 1400.777 449.2634 521 0.2066283 0.3420781
Moved 1400.808 465.0259 521 0.2431155 0.3420781
Moved 1400.839 484.1393 521 0.2873594 0.3420781
Moved 1400.87 495.312 521 0.3132222 0.3420781
Moved 1400.901 502.4282 521 0.3296949 0.3420781
Moved 1400.931 506.7278 521 0.3396475 0.3420781
Moved 1400.962 510.6012 521 0.348614 0.3420781
Moved 1400.993 513.4857 521 0.3552909 0.3420781
Moved 1401.023 514.3718 521 0.3573422 0.3420781
Moved 1401.054 515.227 521 0.3593217 0.3420781
Stationary 1401.085 515 521 0.3587963 0.3420781
Moved 1401.116 504.6171 521 0.3347619 0.3420781
Moved 1401.146 488.4638 510.5611 0.2973699 0.3152291
Moved 1401.177 463.2125 502.825 0.2389179 0.2953317
Moved 1401.208 441.3132 500.0348 0.1882249 0.2881552
Moved 1401.239 420.5 497.5 0.1400463 0.2816358
Moved 1401.269 400.8953 497 0.094665 0.2803498
Moved 1401.3 382.8684 497 0.05293618 0.2803498
Moved 1401.331 364.2927 497 0.009936689 0.2803498
Moved 1401.362 349.4565 497 -0.02440631 0.2803498
Moved 1401.392 334.3828 497 -0.05929917 0.2803498
Moved 1401.423 320.991 504 -0.0902987 0.2983539
Moved 1401.454 308.9294 506.2676 -0.1182191 0.3041862
Moved 1401.484 296.8219 508.7945 -0.1462455 0.3106853
Moved 1401.515 286.9838 511.6721 -0.1690191 0.3180865
Moved 1401.546 278.9127 513.5436 -0.1877021 0.3229002
Moved 1401.577 272.7398 517.1735 -0.2019912 0.3322362
Moved 1401.607 268.0335 518.9833 -0.2128854 0.3368911
Moved 1401.638 266 521.8465 -0.2175926 0.3442554
Moved 1401.669 264.2802 523.7198 -0.2215736 0.3490734
Moved 1401.7 264 525.2537 -0.2222222 0.3530186
Moved 1401.73 263 527.0676 -0.2245371 0.3576842
Moved 1401.761 263 528.3734 -0.2245371 0.3610426
Moved 1401.792 263 529.5 -0.2245371 0.3639403
Moved 1401.823 263 529 -0.2245371 0.3626543
Stationary 1401.853 263 529 -0.2245371 0.3626543
Stationary 1401.884 263 529 -0.2245371 0.3626543
Moved 1401.915 273.3698 519.9453 -0.2005329 0.3393654
Moved 1401.946 279.1354 508.1616 -0.1871866 0.3090574
Moved 1401.976 286.2984 493.4032 -0.1706055 0.2710987
Moved 1402.007 292.614 472.5439 -0.1559861 0.2174483
Moved 1402.038 298.672 455.1481 -0.1419631 0.1727059
Moved 1402.068 302.7051 435.0643 -0.1326271 0.1210501
Moved 1402.099 306.5766 415.9636 -0.1236652 0.07192262
Moved 1402.13 308 402.5336 -0.1203704 0.0373805
Moved 1402.161 309 378.7867 -0.1180555 -0.0236968
Moved 1402.191 309.8833 368.7004 -0.1160109 -0.04963902
Moved 1402.222 310 355.9563 -0.1157407 -0.082417
Moved 1402.253 310 345.7753 -0.1157407 -0.1086028
Moved 1402.284 310 337.4814 -0.1157407 -0.1299347
Moved 1402.314 310 329.8613 -0.1157407 -0.1495336
Moved 1402.345 310 324.6534 -0.1157407 -0.1629285
Moved 1402.376 310 320.5814 -0.1157407 -0.1734019
Moved 1402.406 310 316.7056 -0.1157407 -0.1833705
Moved 1402.437 310 314.8309 -0.1157407 -0.1881923
Moved 1402.468 310 313.5 -0.1157407 -0.1916154
Moved 1402.499 310 311.7 -0.1157407 -0.1962449
Stationary 1402.529 310 311.7 -0.1157407 -0.1962449
Stationary 1402.56 310 312 -0.1157407 -0.1954732
Moved 1402.591 301.2462 312 -0.1360042 -0.1954732
Moved 1402.622 296.4966 312 -0.1469986 -0.1954732
Moved 1402.652 290.7681 312 -0.1602591 -0.1954732
