win first prize in the contest
Direct
0.6 0.6
432 388.8
Moved 513.3324 262.2707 541 -0.2262252 0.3935184
Ended 513.3632 262.2707 541 -0.2262252 0.3935184
Began 514.6538 477 535 0.2708333 0.3780863
Stationary 514.6846 477 535 0.2708333 0.3780863
Stationary 514.7153 477 535 0.2708333 0.3780863
Stationary 514.746 477 535 0.2708333 0.3780863
Moved 514.7767 477 510.7745 0.2708333 0.315778
Moved 514.8074 467.018 480.1349 0.2477268 0.2369726
Moved 514.8383 462 452 0.2361111 0.164609
Moved 514.869 453.7329 405.5757 0.2169744 0.04520487
Moved 514.8997 442.198 356.3926 0.1902731 -0.08129473
Moved 514.9304 439.2436 344.0959 0.1834342 -0.112922
Moved 514.9611 433.1275 317.074 0.1692767 -0.182423
Moved 514.9919 430.0099 303.0495 0.1620599 -0.2184942
Moved 515.0226 429 292.0369 0.1597223 -0.2468188
Moved 515.0533 427 283.5734 0.1550926 -0.2685869
Moved 515.084 426 277.2676 0.1527777 -0.2848057
Moved 515.1148 426 274.0728 0.1527777 -0.2930228
Ended 515.1456 426 273.5 0.1527777 -0.2944959
Began 516.2518 334 526 -0.06018519 0.3549381
Stationary 516.2825 334 526 -0.06018519 0.3549381
Stationary 516.3133 334 526 -0.06018519 0.3549381
Moved 516.3441 339.3184 506.0224 -0.0478741 0.3035555
Moved 516.3748 357.6186 471.7628 -0.005512535 0.2154392
Moved 516.4055 378.4599 428.6043 0.04273117 0.1044349
Moved 516.4362 389.2154 405.5692 0.06762822 0.04518827
Moved 516.467 395 394 0.08101851 0.01543206
Moved 516.4976 396.8812 389.2377 0.08537301 0.00318327
Moved 516.5284 398 386.5947 0.08796295 -0.003614465
Moved 516.5591 398 385 0.08796295 -0.007716127
Moved 516.5899 364.5 409 0.01041671 0.05401234
Moved 516.6206 330.9771 434.6609 -0.06718273 0.1200125
Moved 516.6514 291.1702 466.0092 -0.1593282 0.2006407
Moved 516.6821 269.3041 481.1849 -0.2099441 0.2396731
Moved 516.7128 257.4872 489.1346 -0.2372983 0.2601199
Moved 516.7435 253.2827 492.7173 -0.2470307 0.2693345
Ended 516.7743 253 494 -0.2476852 0.2726337
Began 517.9422 287 260 -0.1689815 -0.3292181
Stationary 517.973 287 260 -0.1689815 -0.3292181
Stationary 518.0037 287 260 -0.1689815 -0.3292181
Moved 518.0344 301.3741 274.3741 -0.1357082 -0.2922477
Moved 518.0651 332.0345 302.6989 -0.06473486 -0.2193959
Moved 518.0958 384.8791 358.8705 0.05759061 -0.07492175
Moved 518.1266 416 395 0.1296297 0.01800408
Moved 518.1573 453.8987 433.9987 0.2173582 0.1183092
Moved 518.188 480.0995 459.8611 0.2780082 0.1848278
Moved 518.2188 502.5728 480.5728 0.3300295 0.2380985
Moved 518.2495 513.9576 494.447 0.3563833 0.2737832
Moved 518.2794 519.0445 499.0445 0.3681585 0.2856082
Moved 518.3109 521.2331 502.2331 0.3732247 0.2938093
Moved 518.3416 522.5 503 0.3761573 0.2957818
Moved 518.3723 523.4025 503 0.3782466 0.2957818
Stationary 518.4031 523.4025 503 0.3782466 0.2957818
Stationary 518.4338 523.4025 503 0.3782466 0.2957818
Moved 518.4645 517.8538 480.1187 0.3654024 0.2369306
Moved 518.4952 508.8026 456.7072 0.3444505 0.176716
Moved 518.526 495.622 417.0215 0.3139399 0.07464385
Moved 518.5568 481.3648 379.3326 0.2809369 -0.02229282
Moved 518.5875 469.377 344.4426 0.2531876 -0.1120303
Moved 518.6182 459.3469 314.823 0.2299696 -0.1882125
Moved 518.6489 453.4744 292.8976 0.216376 -0.2446049
Moved 518.6796 449.8867 281.6602 0.2080711 -0.2735078
Moved 518.7104 443.4404 257.7614 0.193149 -0.3349759
Moved 518.7411 440.8866 248.6598 0.1872375 -0.3583854
Moved 518.7719 440 245.332 0.1851852 -0.3669443
Moved 518.8026 439 243.033 0.1828703 -0.3728577
Moved 518.8333 436.5 243 0.1770833 -0.3729424
Moved 518.864 428.7822 243 0.1592181 -0.3729424
Moved 518.8948 421.1256 257.4992 0.1414944 -0.3356503
Moved 518.9255 410.3642 275.3627 0.1165838 -0.2897051
Moved 518.9559 399.2706 297.8912 0.09090413 -0.2317613
Moved 518.987 388.0213 328.9289 0.06486416 -0.1519319
Moved 519.0178 379.3802 359.0193 0.04486143 -0.07453872
Moved 519.0485 372.3596 389.8424 0.02861013 0.004738662
Moved 519.0792 365.054 429.0452 0.0116991 0.1055689
Moved 519.1099 359.1275 454.1075 -0.002019654 0.1700294
Moved 519.1405 356.5794 470.1028 -0.007917981 0.2111698
Moved 519.1714 356.2495 483.7525 -0.008681764 0.2462769
Moved 519.2021 354.7582 496.2089 -0.01213377 0.278315
Moved 519.2328 352.2246 505.3262 -0.01799856 0.3017647
Moved 519.2636 347.0714 511.9285 -0.02992719 0.3187461
Moved 519.2944 338 516 -0.05092591 0.329218
Moved 519.3251 317.3761 518.0891 -0.0986665 0.3345912
Moved 519.3558 297.5376 518 -0.1445888 0.3343621
Moved 519.3865 282.0948 518 -0.1803361 0.3343621
Moved 519.4173 273 506 -0.2013889 0.3034978
Moved 519.4479 264.9674 502.9674 -0.2199829 0.295698
Moved 519.4788 256.7296 491.0268 -0.2390519 0.2649865
Moved 519.5095 246.5934 467.8818 -0.2625153 0.2054572
Moved 519.5402 241 448.5 -0.275463 0.1556069
Moved 519.5709 238.0995 424.8959 -0.282177 0.09489687
Moved 519.6017 234.5557 406.8899 -0.2903803 0.04858499
Moved 519.6324 234 396.054 -0.2916667 0.0207149
Moved 519.6631 233 390 -0.2939815 0.005143954
Moved 519.6938 233 388.5 -0.2939815 0.00128589
Moved 519.7246 233 389 -0.2939815 0.002572016
Moved 519.7553 287.0116 431.154 -0.1689547 0.1109927
Moved 519.786 328.3449 469.9499 -0.07327576 0.2107764
Moved 519.8168 345.3284 488.9941 -0.03396198 0.2597585
Moved 519.8475 356.6249 503.0416 -0.007812629 0.2958888
Moved 519.8782 363.4942 510.4942 0.00808835 0.315057
Moved 519.909 366.3011 514.3011 0.01458595 0.3248485
Moved 519.9397 368 516.5 0.01851857 0.3305041
Ended 519.9704 369 516 0.02083332 0.329218
PhraseEnd 521.845
