the bathroom is good for reading
Direct
0.6 0.6
432 388.8
Moved 685.3547 184 367.0006 -0.4074074 -0.05401085
Moved 685.3855 183 366 -0.4097222 -0.05658444
Stationary 685.4163 183 366 -0.4097222 -0.05658444
Moved 685.447 210.2108 366 -0.3467342 -0.05658444
Moved 685.4778 235.5113 366 -0.2881683 -0.05658444
Moved 685.5085 263.9579 366 -0.2223197 -0.05658444
Moved 685.5392 292.5378 373.6918 -0.1561625 -0.03680092
Moved 685.57 325.9066 387.4455 -0.07891992 -0.001426273
Moved 685.6008 356.5704 406.5084 -0.007938892 0.04760377
Moved 685.6315 395.7338 432.4892 0.08271714 0.1144269
Moved 685.6622 441.9161 457.0726 0.1896207 0.1776557
Moved 685.693 479.1941 479.4627 0.2759123 0.2352435
Moved 685.7238 508.2305 505.2305 0.3431263 0.3015187
Moved 685.7545 514.7864 512.9437 0.3583018 0.321357
Moved 685.7852 522.4269 521.4269 0.3759883 0.3431762
Moved 685.816 526 526 0.3842592 0.3549381
Moved 685.8467 518.9456 518.9456 0.3679295 0.336794
Moved 685.8776 480.713 466.5694 0.2794282 0.2020817
Moved 685.9083 467.6067 438.2133 0.2490895 0.1291494
Moved 685.939 443.7757 377.0211 0.1939252 -0.0282381
Moved 685.9698 427.6616 309.6422 0.1566241 -0.2015375
Moved 686.0005 426 268.2263 0.1527777 -0.3080601
Moved 686.0313 426 256.5 0.1527777 -0.3382202
Moved 686.0621 426 250.8334 0.1527777 -0.3527949
Moved 686.0928 426 250 0.1527777 -0.3549383
Moved 686.1235 393.8201 275.4399 0.07828723 -0.2895063
Moved 686.1543 357.6891 316.5365 -0.005349318 -0.1838055
Moved 686.1849 337.1999 350.6335 -0.05277798 -0.09610737
Ended 686.2158 334 356.5 -0.06018519 -0.0810186
PhraseEnd 687.1383
