a subject one can really enjoy
Direct
0.6 0.6
432 388.8
Moved 819.3281 449.632 241.368 0.2074815 -0.3771399
Moved 819.3588 450 239.8032 0.2083333 -0.3811646
Moved 819.3896 452.1554 239 0.2133226 -0.3832304
Moved 819.4203 452 237.5 0.2129629 -0.3870885
Moved 819.451 453.311 236.6891 0.2159976 -0.3891742
Moved 819.4818 454.1797 235.8203 0.2180085 -0.3914087
Moved 819.5125 455.2396 236 0.2204621 -0.3909465
Stationary 819.5432 455.2396 236 0.2204621 -0.3909465
Moved 819.574 457.0694 236 0.2246978 -0.3909465
Moved 819.6047 458.3596 236 0.2276843 -0.3909465
Moved 819.6355 459.11 236 0.2294212 -0.3909465
Moved 819.6663 461.0823 247.1647 0.2339869 -0.3622308
Moved 819.697 462 253.4835 0.2361111 -0.3459787
Moved 819.7277 463 273.3245 0.2384259 -0.2949473
Moved 819.7584 463 293.5131 0.2384259 -0.243022
Moved 819.7891 463 308.9695 0.2384259 -0.2032678
Moved 819.8199 463 329.0514 0.2384259 -0.1516168
Moved 819.8506 463 344.6364 0.2384259 -0.1115321
Moved 819.8813 463 358.543 0.2384259 -0.07576389
Moved 819.912 463 377.2939 0.2384259 -0.0275363
Moved 819.9428 463 390.9095 0.2384259 0.007483282
Moved 819.9735 463 403.9153 0.2384259 0.04093437
Moved 820.0043 463 412.2809 0.2384259 0.06245095
Moved 820.035 468.3647 432.4587 0.2508441 0.1143484
Moved 820.0657 477.7711 449.6184 0.2726182 0.1584835
Moved 820.0964 492.0471 468.7217 0.3056647 0.2076174
Moved 820.1272 507.4785 488.7177 0.3413854 0.2590476
Moved 820.158 517.5215 500.362 0.3646331 0.2889969
Moved 820.1887 523.1931 508.1931 0.3777618 0.3091386
Moved 820.2194 526.353 512.353 0.3850763 0.3198378
Moved 820.2502 528.5 514.5 0.3900464 0.32536
Moved 820.2809 529 515.5565 0.3912036 0.3280772
Moved 820.3116 529 517.3076 0.3912036 0.3325811
Stationary 820.3423 529 517.3076 0.3912036 0.3325811
Stationary 820.373 529 517.3076 0.3912036 0.3325811
Stationary 820.4038 529 517 0.3912036 0.33179
Stationary 820.4346 529 517 0.3912036 0.33179
Stationary 820.4653 529 517 0.3912036 0.33179
Stationary 820.496 529 517 0.3912036 0.33179
Stationary 820.5268 529 517 0.3912036 0.33179
Stationary 820.5575 529 517 0.3912036 0.33179
Moved 820.5882 520.8126 506.8126 0.3722513 0.3055878
Moved 820.619 516.0449 500.0898 0.3612151 0.2882968
Moved 820.6497 508.8495 492.8495 0.344559 0.2696746
Moved 820.6804 500.5493 483.5493 0.3253455 0.2457542
Moved 820.7112 488.4499 474.3599 0.2973378 0.2221191
Moved 820.7419 476.9815 466.6543 0.2707905 0.2023
Moved 820.7726 466.2486 463.5621 0.2459457 0.194347
Moved 820.8033 454.3407 463 0.2183813 0.1929011
Moved 820.834 437.9283 463 0.1803897 0.1929011
Moved 820.8648 422.7813 463 0.145327 0.1929011
Moved 820.8956 411.1754 473.2062 0.1184615 0.2191516
Moved 820.9263 400.3868 479.9599 0.0934881 0.2365223
Moved 820.957 391.8077 485.7949 0.07362892 0.25153
Moved 820.9878 384.4944 490.1685 0.05670001 0.2627791
Moved 821.0185 380.0642 494.9359 0.04644483 0.2750406
Moved 821.0493 377.6581 497.3419 0.04087527 0.2812291
Moved 821.08 376 501.1996 0.03703703 0.2911511
Moved 821.1107 376 507.5824 0.03703703 0.3075678
Ended 821.1414 376 509.5 0.03703703 0.3124999
PhraseEnd 821.8483
