stiff penalty for staying out late
stiff penalty for staying out late
Basic
0.6 0.6
432 326.4
Moved 1200.545 475.4362 486 0.2672135 0.3615196
Moved 1200.577 448.2485 486 0.2042788 0.3615196
Moved 1200.608 429.1589 486 0.1600901 0.3615196
Moved 1200.64 413.7168 486 0.1243444 0.3615196
Moved 1200.672 402.8965 486 0.09929757 0.3615196
Moved 1200.704 394.8167 486 0.08059432 0.3615196
Moved 1200.762 378.6183 486 0.04309803 0.3615196
Moved 1200.797 366.2635 486 0.01449883 0.3615196
Moved 1200.834 350.9772 486 -0.02088601 0.3615196
Moved 1200.868 343.3482 486 -0.03854588 0.3615196
Moved 1200.902 338.5852 486 -0.0495713 0.3615196
Moved 1200.936 335.7146 486 -0.05621627 0.3615196
Ended 1200.969 334 486 -0.06018519 0.3615196
Candidates 1201.006 5 out or our put poor
Began 1201.482 374 376 0.03240744 0.02450971
Stationary 1201.524 374 376 0.03240744 0.02450971
Moved 1201.557 374 390.8477 0.03240744 0.06999914
Moved 1201.593 365.8474 409.1716 0.01353572 0.1261386
Moved 1201.627 362.0992 434.3056 0.004859269 0.2031422
Moved 1201.662 360 452.6487 0 0.2593405
Moved 1201.695 360 460.391 0 0.2830608
Moved 1201.731 360 464.5869 0 0.2959158
Moved 1201.767 360 468.4688 0 0.3078087
Moved 1201.804 360 470 0 0.3125
Ended 1201.836 360 470 0 0.3125
Accept 1201.88 out
Began 1202.158 562 373 0.4675925 0.01531863
Stationary 1202.202 562 373 0.4675925 0.01531863
Stationary 1202.234 562 373 0.4675925 0.01531863
Stationary 1202.265 562 373 0.4675925 0.01531863
Moved 1202.296 514.6967 373 0.3580943 0.01531863
Moved 1202.328 421.2974 373 0.1418922 0.01531863
Moved 1202.361 317.4464 380 -0.09850384 0.0367648
Moved 1202.393 255.9703 381 -0.2408095 0.03982843
Moved 1202.427 220.1546 381 -0.3237161 0.03982843
Moved 1202.459 192.3212 371.1825 -0.3881454 0.009750292
Moved 1202.493 167.5171 366.7034 -0.4455624 -0.003972334
Moved 1202.535 157.2185 366 -0.4694015 -0.006127451
Moved 1202.568 152.8718 365 -0.4794634 -0.009191177
Moved 1202.601 151 365 -0.4837963 -0.009191177
Moved 1202.632 159.5653 377.7102 -0.4639692 0.0297494
Moved 1202.665 219.1232 418.1865 -0.3261036 0.1537576
Moved 1202.702 291.1692 455.7456 -0.1593307 0.2688285
Moved 1202.735 317.012 467.7545 -0.09950936 0.3056203
Moved 1202.767 336.7101 478.355 -0.05391171 0.3380975
Moved 1202.799 348.9521 482.984 -0.02557392 0.3522795
Moved 1202.832 356.9572 486.9573 -0.007043432 0.3644525
Moved 1202.884 360.5 489.5 0.001157423 0.3722427
Moved 1202.917 360 489 0 0.3707108
Moved 1202.949 353.0696 490 -0.01604249 0.3737745
Moved 1202.982 325.4789 492 -0.07991001 0.379902
Moved 1203.013 291.4808 492 -0.1586092 0.379902
Moved 1203.045 266.8711 493 -0.2155762 0.3829657
Moved 1203.076 251.0897 493.782 -0.2521072 0.3853617
Moved 1203.109 233.5878 495 -0.2926209 0.3890932
Ended 1203.14 233.5878 495 -0.2926209 0.3890932
Candidates 1203.219 5 late later latter lawyer layer
Began 1203.669 387 333 0.06250004 -0.1072304
Stationary 1203.714 387 333 0.06250004 -0.1072304
Moved 1203.746 387 346.4315 0.06250004 -0.06608
Moved 1203.78 375.4836 385.0329 0.03584156 0.05218408
Moved 1203.815 375 407.511 0.03472219 0.1210508
Moved 1203.848 373 431.0308 0.0300926 0.193109
Moved 1203.886 372 438.2568 0.02777775 0.2152477
Ended 1203.921 371 441 0.025463 0.2236519
Accept 1203.957 late
PhraseEnd 1205.329
