you want to eat your cake
you want to eat your cake
Basic
0.6 0.6
432 326.4
Moved 1263.728 244.0017 398.5676 -0.2685146 0.09365083
Moved 1263.766 297.0559 431.0406 -0.145704 0.1931393
Moved 1263.804 318.3122 446.4268 -0.09649962 0.2402782
Moved 1263.842 335.6354 462.5139 -0.05639961 0.2895645
Moved 1263.878 344.405 471.1075 -0.03609956 0.3158933
Moved 1263.915 349.5743 476.1487 -0.02413347 0.3313379
Moved 1263.952 351 479.686 -0.02083332 0.3421754
Ended 1263.991 351 480 -0.02083332 0.3431373
Candidates 1264.054 5 east eat rat treat treaty
Began 1264.491 367 345 0.01620372 -0.07046569
Stationary 1264.549 367 345 0.01620372 -0.07046569
Stationary 1264.584 367 345 0.01620372 -0.07046569
Stationary 1264.619 367 345 0.01620372 -0.07046569
Stationary 1264.654 367 345 0.01620372 -0.07046569
Stationary 1264.689 367 345 0.01620372 -0.07046569
Stationary 1264.724 367 345 0.01620372 -0.07046569
Moved 1264.758 357.16 345 -0.006574144 -0.07046569
Moved 1264.793 354.2893 345 -0.01321927 -0.07046569
Moved 1264.829 351.3053 345 -0.02012655 -0.07046569
Moved 1264.863 342.1781 345 -0.04125446 -0.07046569
Moved 1264.917 283.6118 345 -0.1768246 -0.07046569
Moved 1264.956 256.4415 345 -0.2397188 -0.07046569
Moved 1264.991 240.238 345 -0.2772269 -0.07046569
Moved 1265.027 230.9998 345 -0.2986115 -0.07046569
Moved 1265.063 229 345 -0.3032407 -0.07046569
Ended 1265.099 228 345 -0.3055556 -0.07046569
Accept 1265.133 eat
Began 1265.525 346 456 -0.03240739 0.2696078
Stationary 1265.566 346 456 -0.03240739 0.2696078
Stationary 1265.602 346 456 -0.03240739 0.2696078
Stationary 1265.637 346 456 -0.03240739 0.2696078
Moved 1265.675 357.681 456 -0.005367994 0.2696078
Moved 1265.712 365.6271 463 0.0130256 0.291054
Moved 1265.746 378.3833 467.1533 0.04255384 0.3037786
Moved 1265.786 420.2337 474.0359 0.1394299 0.3248651
Moved 1265.831 480.1079 479.6385 0.2780274 0.3420297
Moved 1265.872 532.7089 484.301 0.399789 0.3563142
Moved 1265.911 550.5084 485 0.4409916 0.3584559
Moved 1265.948 559.4717 486 0.4617401 0.3615196
Moved 1265.985 560 486.987 0.462963 0.3645435
Moved 1266.02 548.0024 491.7139 0.4351908 0.3790256
Moved 1266.056 487.8885 505.4872 0.2960382 0.4212232
Moved 1266.095 460.1742 508 0.2318848 0.4289215
Moved 1266.133 433.7963 509.0407 0.1708248 0.4321101
Moved 1266.169 421.3676 509 0.1420546 0.4319853
Moved 1266.205 409.3551 509 0.1142479 0.4319853
Moved 1266.262 363.2938 509 0.007624427 0.4319853
Moved 1266.301 339.6416 500.5904 -0.04712592 0.4062206
Moved 1266.337 312.0473 501 -0.1110015 0.4074755
Moved 1266.377 298.5474 500 -0.1422513 0.4044118
Moved 1266.412 288.2396 499 -0.166112 0.4013481
Moved 1266.447 285.2864 499 -0.172948 0.4013481
Ended 1266.482 284 499 -0.1759259 0.4013481
Candidates 1266.536 5 type tour your rope route
Began 1267.915 338 434 -0.05092591 0.2022059
Stationary 1267.959 338 434 -0.05092591 0.2022059
Moved 1267.995 355.5812 434 -0.0102287 0.2022059
Moved 1268.033 410.4201 434 0.1167132 0.2022059
Moved 1268.071 439.0901 424.8638 0.1830789 0.174215
Moved 1268.107 458.3302 424 0.2276161 0.1715687
Moved 1268.143 464.0139 423 0.2407731 0.1685049
Moved 1268.186 468.3163 421.6837 0.2507321 0.1644722
Moved 1268.231 471.1758 422 0.2573515 0.1654412
Moved 1268.268 473.0665 422 0.261728 0.1654412
Moved 1268.305 474 422 0.2638889 0.1654412
Moved 1268.34 475 420.5 0.2662037 0.1608455
Moved 1268.383 477.1346 421 0.271145 0.1623774
Ended 1268.432 477.1346 421 0.271145 0.1623774
Accept 1268.488 your
Began 1269.202 261 263 -0.2291666 -0.3216912
Stationary 1269.253 261 263 -0.2291666 -0.3216912
Stationary 1269.288 261 263 -0.2291666 -0.3216912
Stationary 1269.334 261 263 -0.2291666 -0.3216912
Stationary 1269.368 261 263 -0.2291666 -0.3216912
Moved 1269.403 244.6533 281.3467 -0.2670062 -0.2654821
Moved 1269.442 217.4934 311.7571 -0.3298764 -0.1723128
Moved 1269.48 182.5 346 -0.4108796 -0.06740196
Moved 1269.518 170.7469 354.8354 -0.4380859 -0.04033257
Moved 1269.556 157.7678 361.4108 -0.4681301 -0.0201876
Moved 1269.59 150.4238 364.2881 -0.4851301 -0.01137229
Moved 1269.633 145.8435 367.1566 -0.4957327 -0.002584083
Moved 1269.667 145 370.129 -0.4976852 0.006522758
Moved 1269.702 169.9015 381.9652 -0.4400428 0.04278557
Moved 1269.735 256.0331 403.316 -0.2406642 0.1081987
Moved 1269.77 324.988 405 -0.08104628 0.1133579
Moved 1269.805 367.8262 394.9632 0.01811624 0.08260784
Moved 1269.844 414.8674 385.0295 0.1270079 0.05217375
Moved 1269.886 441.7061 380.9542 0.1891345 0.03968819
Moved 1269.925 475.7538 378 0.2679487 0.03063726
Moved 1269.964 486.3785 378 0.2925429 0.03063726
Moved 1270.024 489 385.2569 0.2986111 0.0528704
Moved 1270.061 416.4096 414.7137 0.1305779 0.1431179
Moved 1270.098 367.0481 437.5035 0.01631508 0.2129398
Moved 1270.138 314.5034 462.2483 -0.1053161 0.2887509
Moved 1270.177 289.8027 472.3592 -0.1624938 0.319728
Moved 1270.215 268.6604 480.0849 -0.2114343 0.3433974
Moved 1270.257 257.2281 483 -0.237898 0.3523284
Moved 1270.294 244.4783 486.2609 -0.2674114 0.3623189
Ended 1270.336 238 486 -0.2824074 0.3615196
Candidates 1270.399 5 cake calle castle cattle value
Began 1270.833 380 317 0.04629632 -0.1562499
Stationary 1270.885 380 317 0.04629632 -0.1562499
Moved 1270.923 369.237 369.1558 0.02138198 0.003541124
Moved 1270.959 366.6794 392.8856 0.01546154 0.07624248
Moved 1270.994 364.818 408.9099 0.01115282 0.1253365
Moved 1271.03 362.5 419 0.005787015 0.1562501
Ended 1271.065 363 419.5 0.006944438 0.1577819
Accept 1271.102 cake
PhraseEnd 1271.639
